# generated by the lemma-pair-classification workflow (sonnet): candidate id pairs
# classified as one lexeme (same: mutation/spelling/suffix variants) or distinct words.
# The Cregeen equivalence layer seed - human-skim, then adopt (destination: cregeen-nvh,
# beside lemma-overrides.nvh/lemma-paradigms.nvh). Consumed by AdjudicationExporter
# via LEMMA_EQUIVALENCES_TSV: 'same' pairs collapse into one adjudication group.
bee.v	vees.v	same	one to-be: vees is the future the paradigm lists [tri-vote campaign 2026-07-31]
cheddin.a	keddin.x	same	one same-word: cheddin is lenited keddin [tri-vote campaign 2026-07-31]
cheead.n	keead.n	same	one hundred: cheead is lenited keead [tri-vote campaign 2026-07-31]
chliwe.n	cliwe.n	same	one sword: chliwe is the lenited entry [tri-vote campaign 2026-07-31]
cur.v	dug.v	same	one give-verb: dug is the past the paradigm lists [tri-vote campaign 2026-07-31]
da.x	dauesyn.x	same	one to-them: dauesyn is the emphatic [tri-vote campaign 2026-07-31]
dooys.x	dou.x	same	one to-me: dooys is the emphatic [tri-vote campaign 2026-07-31]
ee.x	ish.x	same	one she-pronoun: ish is the emphatic [tri-vote campaign 2026-07-31]
eieit.x	eit.x	same	one called-participle printed twice (eieit / eit) under eie [tri-vote campaign 2026-07-31]
faik.v	honnick.v	same	one see-verb: honnick is the suppletive past [tri-vote campaign 2026-07-31]
fow.v	yiow.x	same	one get-verb: yiow is the future the paradigm lists [tri-vote campaign 2026-07-31]
goit.x	gow.v	same	one take-verb: goit is the participle the paradigm lists [tri-vote campaign 2026-07-31]
idA	idB	verdict	note
aa-vaair.n	aa-vioghee.x	distinct	second crop vs revive/quicken, unrelated
aare.x	faare.x	same	near/adjacent; Cregeen derives aare from faare
aarkey.n	faarkey.v	distinct	aarkey.n is 'yn aarkey' the sea (family F-8, radical faarkey s.m. 'the sea, billow'), but faarkey.v is the separate verb family F-7 'to bathe' (dy aarkey); Cregeen prints sea-noun and bathe-verb as distinct lexemes. [cross-POS audit 2026-07-30]
aarkey.n	n'aarkey.v	same	mutation variant of aarkey "sea"
aarl.v	aarlagh.v	same	cook/dress-meat verb paradigm [id rekeyed to the regenerated table 2026-07-31]
aarl.v	aarlee.x	same	cook verb paradigm [id rekeyed to the regenerated table 2026-07-31]
aarl.v	n'aarl.v	same	cook verb, mutation variant [id rekeyed to the regenerated table 2026-07-31]
aarlagh.v	n'aarl.v	same	cook verb, mutation variant
aarlee.x	n'aarl.v	same	cook verb, mutation variant [id rekeyed to the regenerated table 2026-07-31]
aasaag.n	faasaag.n	same	beard; Cregeen derives aasaag from faasaag
aase.n	faase.a	distinct	grow vs feeble/weak, different words
aase.n	n'aas.v	same	grow verb, mutation variant
aase.n	saase.n	distinct	grow vs contrivance/device
aase.v	faase.a	distinct	grow vs feeble/weak
aase.v	n'aas.v	same	grow verb, mutation variant
aashagh.a	sassey.a	same	Cregeen: sassey is comparative of aashagh
aaue.n	faaue.n	distinct	Eve (name) vs hint/suggestion
abbyr.v	jir.v	same	suppletive "say" verb paradigm
accryssagh.x	s'accryssee.a	same	hungry, comparative form
ad.x	adsyn.x	same	they/them, emphatic form
aggairagh.n	s'aggairee.a	same	unjust, comparative form
aggl.v	agglagh.a	same	fear/frighten word family
aggl.v	n'aggl.v	same	fear verb, mutation variant
agglagh.a	n'aggl.v	same	fear/frighten, mutation variant
agglaghey.v	n'agglaghey.v	same	frighten verb, mutation variant
aggle.n	n'aggl.v	same	fear noun/verb, mutation variant
agh.x	py'agh.n	distinct	"but" conjunction vs "person"
aill.n	faill.v	distinct	aill.n's bare-headword entry (A-54) is aill 'wish/pleasure' (family saillym 'I please', baill 'would wish', cha naill 'not wish'); faill.v spans faill 'fail' (F-22, daill 'did fail') and faill 'hire, engage for wages' (F-23), and only the subsidiary 'e aill: his hire, wages' entry belongs with faill. [cross-POS audit 2026-07-30]
aill.v	faill.v	same	hire verb, lenited variant
aill.v	n'aill.v	same	wish verb, mutation variant
ainjyssagh.n	s'ainjyssee.a	same	acquainted, comparative form
almoragh.n	s'almoree.a	same	ignorant, comparative form
am.a	fam.n	distinct	bad/vile vs seaweed stem
anchasherick.a	s'anchasherickey.a	same	unholy, comparative form [id rekeyed to the regenerated table 2026-07-31]
ann.n	fann.v	distinct	"Ann" proper name vs flay verb
ann.v	anney.n	distinct	flay verb vs commandment
ann.v	annym.n	distinct	flay verb vs soul
ann.v	fann.v	same	flay verb, lenited/citation pair
ann.v	fanney.v	same	flay/fleece verb family
ann.v	n'ann.v	same	flay verb, mutation variant
annaghyn.n	anney.n	same	commandment singular/plural
anney.n	fanney.v	distinct	commandment vs fleece/flay
annym.n	n'ann.v	distinct	soul vs flay verb
annym.n	tann.v	distinct	soul vs tarry/abide verb
