# generated by CorpusSearch.Test/LemmaSidecarGenerator.cs; table=manx-lemma-data, treebank=UD_Manx-Cadhan (pinned by the consumer's submodules)
# form-level: every occurrence of `form` resolves to `lemmaIds`; seeded from
# decisive UD majorities (>=3 observations, >=80% one reading) - review before adopting
form	lemmaIds	udEvidence
adsyn	ad.x	12/12
aggle	aggle.n	22/23
agh	agh.x	39/39
arg	arg.n	4/4
arrane	arrane.n	4/4
arrym	arrym.n	3/3
ass	ass.x	56/56
beagh	bee.v	6/6
boirey	boirey.n	10/10
boirit	boirit.x	3/3
breag	breag.x	3/3
by	she.v	8/8
chabbyl	cabbyl.n	7/7
chaddil	caddil.v	3/3
chaill	caill.v	5/5
chammah	chammah.x	3/3
charrey	carrey.n	3/3
chashtal	cashtal.n	4/4
chass	cass.n	3/3
cheau	ceau.v	22/22
cheddin	cheddin.a	3/3
cheer	cheer.n,cheer.v	4/4
cheet	cheet.v	34/34
cheilley	cheilley.x	5/5
chionnee	kionnee.a	5/5
chlagh	clagh.n	3/3
chlashtyn	clashtyn.v	4/4
chliwe	cliwe.n	5/5
chloan	cloan.n	4/4
chloie	cloie.n	3/3
choayl	coayl.n	4/4
chooat	cooat.n	3/3
chooid	cooid.n	19/19
chooilley	chooilley.x	15/15
chooish	cooish.n	9/9
chooyrt	cooyrt.n	4/4
chorree	corree.n	5/5
chosh	cosh.a	3/3
choyrt	coyrt.v	7/7
chreck	creck.v	3/3
chree	cree.n	7/7
chretoor	cretoor.n	3/3
chroymm	croymm.v	5/5
chum	cum.x	4/5
chur	cur.v	17/17
churrym	currym.x	3/3
coontey	coontey.x,coontey.n	4/4
cronk	cronk.n	4/4
croymmey	croymmey.v	3/3
currit	currit.x	15/15
currym	currym.n	3/3
dooyrt	abbyr.v	41/41
dug	cur.v	8/8
ee	ee.x,ee.v	123/123
eh	eh.x	2262/2262
eie	eie.n,eie.v	3/3
ennagh	ennagh.a	13/13
ennym	ennym.n	16/16
er	er.x	650/655
eshyn	eh.x	35/35
foddee	fod.v	21/22
gharey	garey.n	3/3
gheddyn	geddyn.v	8/8
ghlen	glen.a	3/3
ghoaill	goaill.v	11/11
gholl	goll.v	11/11
ghooin	dooin.v,dooin.x	4/4
ghow	gow.v	26/26
ghra	gra.v	8/8
ghraih	graih.n	4/4
ghrian	grian.n	4/4
ghuilley	guilley.n	3/3
goit	goit.x	4/4
goll	goll.v	31/31
haink	tar.v	92/92
hayrn	tayrn.n,tayrn.v	14/14
heu	cheu.n	3/3
hie	gow.v	40/45
hig	tar.v	4/4
hoie	soie.x,soie.v	12/12
hon	son.x	6/7
honnick	faik.v	9/9
hooar	fow.v	47/47
hug	cur.v	137/150
hwoaie	twoaie.n	3/3
irree	irree.n	3/3
ish	ee.x	9/9
jannoo	jannoo.v	45/45
jeant	jeant.x	14/14
jeeaghyn	jeeaghyn.v	5/5
jeeragh	jeeragh.a	7/7
jeh	jeh.x	159/159
laa	laa.n	19/19
mish	mee.x	27/27
moal	moal.a	6/6
nel	bee.v	69/69
nod	fod.v	10/10
oyr	oyr.n	9/9
reill	reill.v,reill.n	4/4
ren	jean.v	168/168
row	bee.v	44/44
share	mie.v	20/20
smessey	olk.v	8/8
smoo	mooar.v	10/10
smooinee	smooinee.v	3/3
soie	soie.v	3/3
ta	bee.v	437/437
theihll	seihll.n	8/8
thie	thie.n	37/37
tuittym	tuittym.v,tuittym.n	3/3
uss	oo.x	16/16
va	bee.v	105/105
varr	marr.v	5/5
vea	bea.n	6/6
vees	bee.v	4/4
veih	veih.x	24/24
vel	bee.v	100/100
ver	cur.v	8/8
vlaa	blaa.n	3/3
voalley	boalley.n,boalley.x	9/9
voddey	moddey.n	3/3
voir	moir.n	5/6
y	yn.x	352/390
yinnagh	jean.v	5/5
yiow	fow.v	3/3
