# adopted form-level resolutions: every occurrence of `form` resolves to `lemmaIds`, context-free
# gated by CorpusSearch.Test/LemmaAdjudication/OverridesAdopter (AdoptionGate): same-lexeme
# narrowings freely; a row dropping a lexeme group only on unanimous evidence at 10+
# observations - the refused stay in the seed for per-line adjudication
form	lemmaIds	evidence
'eill	feill.n	10/10 LLM-unanimous
'leih	sleih.n	33/33 LLM-unanimous
-agh	agh.x	20/20 LLM-unanimous
-jeh	jeh.x	10/10 LLM-unanimous
-lhig	lhig.v	13/13 LLM-unanimous
-ny	ny-adv,ny.x	22/22 LLM-unanimous
aasagh	faasagh.n	329/331 LLM-vote sampled
aase	aase.n,aase.v,n'aas.v	66/66 LLM-unanimous
aash	aash.n	143/143 LLM-unanimous
adsyn	ad.x	12/12 UD
aggle	aggle.n	22/23 UD
agh	agh.x	39/39 UD
ainyn	t'ain.v	294/294 LLM-unanimous
anney	anney.n	170/170 LLM-unanimous
annym	annym.n	831/831 LLM-unanimous
arrane	arrane.n	304/305 LLM-vote sampled
arrym	arrym.n	156/156 LLM-unanimous
arrys	arrys.n,arrys.v	632/632 LLM-unanimous
ass	ass.x	56/56 UD
assee	assee.n	156/156 LLM-unanimous
astyr	fastyr.n	210/210 LLM-unanimous
ayds	ayd.x	194/195 LLM-vote sampled
bing	bing.a,bing.n	61/61 LLM-unanimous
boirey	boirey.n	10/10 UD
boirit	boirit.x	23/23 LLM-unanimous
bollan	bollan.n	21/21 LLM-unanimous
breag	breag.n	17/17 LLM-unanimous
breg	breg.n	45/45 LLM-unanimous
cast	cast.v	12/12 LLM-unanimous
chabbyl	cabbyl.n	7/7 UD
chadjin	cadjin.a	19/19 LLM-unanimous
chaglit	chaglit.x	12/12 LLM-unanimous
chairal	cairal.a	30/30 LLM-unanimous
charrey	carrey.n	193/193 LLM-unanimous
chass	cass.n	3/3 UD
cheau	ceau.v	22/22 UD
cheddin	cheddin.a	3/3 UD
cheer	cheer.n,cheer.v	1935/1935 LLM-unanimous
cheet	cheet.v	34/34 UD
